Streaming output truncated to the last 5000 lines.
2026-05-10 02:44:15,445 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170101.taz rows=635
2026-05-10 02:44:15,786 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=1090 total_rows=1090
2026-05-10 02:44:15,788 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170102.taz rows=1090
2026-05-10 02:44:15,986 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=625 total_rows=625
2026-05-10 02:44:15,988 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170103.taz rows=625
2026-05-10 02:44:16,355 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=1188 total_rows=1188
2026-05-10 02:44:16,357 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170104.taz rows=1188
2026-05-10 02:44:16,582 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=632 total_rows=632
2026-05-10 02:44:16,584 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170105.taz rows=632
2026-05-10 02:44:16,867 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=923 total_rows=923
2026-05-10 02:44:16,869 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170106.taz rows=923
2026-05-10 02:44:17,072 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=674 total_rows=674
2026-05-10 02:44:17,073 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170107.taz rows=674
2026-05-10 02:44:17,279 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=660 total_rows=660
2026-05-10 02:44:17,281 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170108.taz rows=660
2026-05-10 02:44:17,529 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=791 total_rows=791
2026-05-10 02:44:17,531 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170109.taz rows=791
2026-05-10 02:44:17,871 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=1189 total_rows=1189
2026-05-10 02:44:17,873 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170110.taz rows=1189
2026-05-10 02:44:17,986 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=376 total_rows=376
2026-05-10 02:44:17,987 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170111.taz rows=376
2026-05-10 02:44:18,325 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=1137 total_rows=1137
2026-05-10 02:44:18,327 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170112.taz rows=1137
2026-05-10 02:44:18,462 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=460 total_rows=460
2026-05-10 02:44:18,463 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170113.taz rows=460
2026-05-10 02:44:18,599 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=457 total_rows=457
2026-05-10 02:44:18,600 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170114.taz rows=457
2026-05-10 02:44:18,970 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=1232 total_rows=1232
2026-05-10 02:44:18,972 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170115.taz rows=1232
2026-05-10 02:44:19,237 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=873 total_rows=873
2026-05-10 02:44:19,238 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170116.taz rows=873
2026-05-10 02:44:19,446 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=728 total_rows=728
2026-05-10 02:44:19,447 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170117.taz rows=728
2026-05-10 02:44:19,650 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=680 total_rows=680
2026-05-10 02:44:19,651 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170118.taz rows=680
2026-05-10 02:44:19,787 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=450 total_rows=450
2026-05-10 02:44:19,788 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170119.taz rows=450
2026-05-10 02:44:20,203 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=1380 total_rows=1380
2026-05-10 02:44:20,205 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170120.taz rows=1380
2026-05-10 02:44:20,468 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=884 total_rows=884
2026-05-10 02:44:20,470 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170121.taz rows=884
2026-05-10 02:44:20,653 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=629 total_rows=629
2026-05-10 02:44:20,654 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170122.taz rows=629
2026-05-10 02:44:20,849 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=649 total_rows=649
2026-05-10 02:44:20,850 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170123.taz rows=649
2026-05-10 02:44:20,986 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=432 total_rows=432
2026-05-10 02:44:20,987 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170124.taz rows=432
2026-05-10 02:44:21,406 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=1375 total_rows=1375
2026-05-10 02:44:21,408 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170125.taz rows=1375
2026-05-10 02:44:21,560 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=516 total_rows=516
2026-05-10 02:44:21,561 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170126.taz rows=516
2026-05-10 02:44:21,787 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=762 total_rows=762
2026-05-10 02:44:21,789 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170127.taz rows=762
2026-05-10 02:44:21,977 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=631 total_rows=631
2026-05-10 02:44:21,979 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170128.taz rows=631
2026-05-10 02:44:22,156 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=570 total_rows=570
2026-05-10 02:44:22,158 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170129.taz rows=570
2026-05-10 02:44:22,321 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=532 total_rows=532
2026-05-10 02:44:22,322 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170130.taz rows=532
2026-05-10 02:44:22,484 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=512 total_rows=512
2026-05-10 02:44:22,485 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170131.taz rows=512
2026-05-10 02:44:22,764 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=973 total_rows=973
2026-05-10 02:44:22,765 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170132.taz rows=973
2026-05-10 02:44:23,054 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=998 total_rows=998
2026-05-10 02:44:23,056 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170133.taz rows=998
2026-05-10 02:44:23,213 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=520 total_rows=520
2026-05-10 02:44:23,214 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170134.taz rows=520
2026-05-10 02:44:23,616 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=1364 total_rows=1364
2026-05-10 02:44:23,618 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170135.taz rows=1364
2026-05-10 02:44:23,866 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=832 total_rows=832
2026-05-10 02:44:23,868 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170136.taz rows=832
2026-05-10 02:44:24,108 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=830 total_rows=830
2026-05-10 02:44:24,110 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170137.taz rows=830
2026-05-10 02:44:24,315 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=683 total_rows=683
2026-05-10 02:44:24,316 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170138.taz rows=683
2026-05-10 02:44:24,548 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=753 total_rows=753
2026-05-10 02:44:24,550 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170139.taz rows=753
2026-05-10 02:44:24,789 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=822 total_rows=822
2026-05-10 02:44:24,790 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170140.taz rows=822
2026-05-10 02:44:25,112 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=1093 total_rows=1093
2026-05-10 02:44:25,114 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170141.taz rows=1093
2026-05-10 02:44:25,276 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=540 total_rows=540
2026-05-10 02:44:25,278 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170142.taz rows=540
2026-05-10 02:44:25,439 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=513 total_rows=513
2026-05-10 02:44:25,440 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170143.taz rows=513
2026-05-10 02:44:25,766 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=1099 total_rows=1099
2026-05-10 02:44:25,768 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170144.taz rows=1099
2026-05-10 02:44:26,002 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=785 total_rows=785
2026-05-10 02:44:26,004 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170145.taz rows=785
2026-05-10 02:44:26,153 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=497 total_rows=497
2026-05-10 02:44:26,154 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170146.taz rows=497
2026-05-10 02:44:26,345 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=564 total_rows=564
2026-05-10 02:44:26,347 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170147.taz rows=564
2026-05-10 02:44:26,566 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=606 total_rows=606
2026-05-10 02:44:26,567 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170148.taz rows=606
2026-05-10 02:44:26,909 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=1109 total_rows=1109
2026-05-10 02:44:26,911 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170149.taz rows=1109
2026-05-10 02:44:27,120 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=685 total_rows=685
2026-05-10 02:44:27,122 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2017/PCL/PCL_BXA20170150.taz rows=685
